iter	Passed	Remaining
0	1	1048
1	2	1079
2	3	1076
3	4	1077
4	5	1078
5	6	1077
6	7	1070
7	8	1070
8	9	1070
9	10	1073
10	11	1069
11	13	1070
12	14	1072
13	15	1066
14	16	1060
15	17	1058
16	18	1055
17	19	1052
18	20	1051
19	21	1050
20	22	1048
21	23	1047
22	24	1050
23	25	1051
24	26	1051
25	28	1050
26	29	1046
27	30	1043
28	31	1040
29	32	1037
30	32	1026
31	33	1023
32	34	1025
33	36	1026
34	37	1026
35	38	1027
36	39	1028
37	40	1030
38	41	1030
39	42	1028
40	43	1027
41	44	1026
42	46	1024
43	47	1023
44	48	1023
45	49	1023
46	50	1024
47	51	1025
48	52	1027
49	54	1027
50	55	1026
51	56	1025
52	57	1024
53	58	1023
54	59	1023
55	60	1023
56	61	1022
57	62	1021
58	64	1021
59	65	1021
60	66	1021
61	67	1020
62	68	1018
63	69	1017
64	70	1016
65	71	1014
66	72	1013
67	73	1012
68	75	1012
69	76	1010
70	77	1010
71	78	1009
72	79	1007
73	80	1005
74	81	1003
75	82	1001
76	83	999
77	84	997
78	85	994
79	86	993
80	87	992
81	88	991
82	89	990
83	90	990
84	91	989
85	92	987
86	94	986
87	95	985
88	96	983
89	97	982
90	98	980
91	99	978
92	100	977
93	101	975
94	102	974
95	103	973
96	104	969
97	104	965
98	105	963
99	106	961
100	107	959
101	108	956
102	109	955
103	110	953
104	111	952
105	112	950
106	113	949
107	114	948
108	115	948
109	117	946
110	118	945
111	119	943
112	120	941
113	120	940
114	121	938
115	122	936
116	123	935
117	124	933
118	125	932
119	126	930
120	128	929
121	129	928
122	130	927
123	131	925
124	132	924
125	132	922
126	134	921
127	135	919
128	136	918
129	136	916
130	137	915
131	139	914
132	140	913
133	141	912
134	142	910
135	143	909
136	144	908
137	145	906
138	146	905
139	147	903
140	148	901
141	149	900
142	149	898
143	156	929
144	157	930
145	158	929
146	160	928
147	161	927
148	162	927
149	163	926
150	164	925
151	171	957
152	172	957
153	174	956
154	175	954
155	176	953
156	177	952
157	178	950
158	179	948
159	180	947
160	186	973
161	188	973
162	189	973
163	190	972
164	192	972
165	193	971
166	194	971
167	196	970
168	197	970
169	198	970
170	200	969
171	201	969
172	202	968
173	203	968
174	205	968
175	206	967
176	207	966
177	209	966
178	210	965
179	211	965
180	213	965
181	214	964
182	215	964
183	217	963
184	218	963
185	219	962
186	221	962
187	222	961
188	223	961
189	225	960
190	226	959
191	227	959
192	229	958
193	230	957
194	231	956
195	232	954
196	233	953
197	235	952
198	236	951
199	236	947
200	237	945
201	238	943
202	239	941
203	240	940
204	241	938
205	243	937
206	244	935
207	245	933
208	246	931
209	247	929
210	248	927
211	249	926
212	250	924
213	257	946
214	259	946
215	260	945
216	261	944
217	263	944
